type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EBDCE0CD;10;7;-94;50;5;SF7BW125;2025-07-03 18:34:56;{"RSSI": -94, "SNR": 7, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:35:12;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:35:27;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:35:42;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:35:57;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:36:13;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;7;-94;50;5;SF7BW125;2025-07-03 18:36:28;{"RSSI": -94, "SNR": 7, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:36:43;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:36:58;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:37:14;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:37:29;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:37:44;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:37:59;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:38:15;{"RSSI": -94, "SNR": 6, "TC": 24.37}
