type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EBDCE0CD;20;6;-68;20;5;SF7BW125;2025-07-07 14:32:18;{"RSSI": -68, "SNR": 6, "TC": 24.71}
24;0000B827EBDCE0CD;20;5;-70;20;5;SF7BW125;2025-07-07 14:32:33;{"RSSI": -70, "SNR": 5, "TC": 26.78}
255;0000B827EBDCE0CD;0;0;0;23;5;SF12BW125;2025-07-07 14:32:39;{"RSSI": 0, "SNR": 0, "DEF": "MIN-SF7-BW125-T20-START"}
24;0000B827EBDCE0CD;20;6;-69;20;5;SF7BW125;2025-07-07 14:32:49;{"RSSI": -69, "SNR": 6, "TC": 28.09}
24;0000B827EBDCE0CD;20;5;-68;20;5;SF7BW125;2025-07-07 14:33:04;{"RSSI": -68, "SNR": 5, "TC": 20.64}
24;0000B827EBDCE0CD;20;6;-69;20;5;SF7BW125;2025-07-07 14:33:19;{"RSSI": -69, "SNR": 6, "TC": 26.42}
24;0000B827EBDCE0CD;20;6;-64;20;5;SF7BW125;2025-07-07 14:33:35;{"RSSI": -64, "SNR": 6, "TC": 20.03}
24;0000B827EBDCE0CD;20;6;-63;20;5;SF7BW125;2025-07-07 14:33:50;{"RSSI": -63, "SNR": 6, "TC": 27.29}
24;0000B827EBDCE0CD;20;6;-64;20;5;SF7BW125;2025-07-07 14:34:05;{"RSSI": -64, "SNR": 6, "TC": 27.12}
24;0000B827EBDCE0CD;20;6;-63;20;5;SF7BW125;2025-07-07 14:34:21;{"RSSI": -63, "SNR": 6, "TC": 26.69}
24;0000B827EBDCE0CD;20;7;-65;20;5;SF7BW125;2025-07-07 14:34:36;{"RSSI": -65, "SNR": 7, "TC": 20.56}
24;0000B827EBDCE0CD;20;6;-67;20;5;SF7BW125;2025-07-07 14:34:52;{"RSSI": -67, "SNR": 6, "TC": 24.32}
24;0000B827EBDCE0CD;20;6;-69;20;5;SF7BW125;2025-07-07 14:35:07;{"RSSI": -69, "SNR": 6, "TC": 26.78}
24;0000B827EBDCE0CD;20;7;-65;20;5;SF7BW125;2025-07-07 14:35:22;{"RSSI": -65, "SNR": 7, "TC": 28.35}
24;0000B827EBDCE0CD;20;6;-64;20;5;SF7BW125;2025-07-07 14:35:38;{"RSSI": -64, "SNR": 6, "TC": 27.26}
24;0000B827EBDCE0CD;20;6;-64;20;5;SF7BW125;2025-07-07 14:35:53;{"RSSI": -64, "SNR": 6, "TC": 25.67}
24;0000B827EBDCE0CD;20;6;-70;20;5;SF7BW125;2025-07-07 14:36:08;{"RSSI": -70, "SNR": 6, "TC": 28.32}
24;0000B827EBDCE0CD;20;6;-71;20;5;SF7BW125;2025-07-07 14:36:24;{"RSSI": -71, "SNR": 6, "TC": 21.48}
24;0000B827EBDCE0CD;20;6;-67;20;5;SF7BW125;2025-07-07 14:36:39;{"RSSI": -67, "SNR": 6, "TC": 20.2}
24;0000B827EBDCE0CD;20;6;-67;20;5;SF7BW125;2025-07-07 14:36:54;{"RSSI": -67, "SNR": 6, "TC": 21.71}
24;0000B827EBDCE0CD;20;4;-68;20;5;SF7BW125;2025-07-07 14:37:10;{"RSSI": -68, "SNR": 4, "TC": 21.36}
24;0000B827EBDCE0CD;20;5;-68;20;5;SF7BW125;2025-07-07 14:37:25;{"RSSI": -68, "SNR": 5, "TC": 22.45}
24;0000B827EBDCE0CD;20;6;-57;20;5;SF7BW125;2025-07-07 14:37:40;{"RSSI": -57, "SNR": 6, "TC": 22.9}
24;0000B827EBDCE0CD;20;5;-65;20;5;SF7BW125;2025-07-07 14:37:56;{"RSSI": -65, "SNR": 5, "TC": 26.56}
24;0000B827EBDCE0CD;20;6;-63;20;5;SF7BW125;2025-07-07 14:38:11;{"RSSI": -63, "SNR": 6, "TC": 28.53}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:38:26;{"RSSI": -62, "SNR": 5, "TC": 27.44}
24;0000B827EBDCE0CD;20;3;-65;20;5;SF7BW125;2025-07-07 14:38:42;{"RSSI": -65, "SNR": 3, "TC": 21.89}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:38:57;{"RSSI": -62, "SNR": 5, "TC": 23.95}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:39:13;{"RSSI": -63, "SNR": 5, "TC": 23.03}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:39:28;{"RSSI": -62, "SNR": 5, "TC": 27.65}
24;0000B827EBDCE0CD;20;4;-63;20;5;SF7BW125;2025-07-07 14:39:43;{"RSSI": -63, "SNR": 4, "TC": 20.23}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:39:59;{"RSSI": -62, "SNR": 5, "TC": 28.53}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:40:14;{"RSSI": -62, "SNR": 5, "TC": 20.07}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:40:29;{"RSSI": -62, "SNR": 5, "TC": 26.32}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:40:45;{"RSSI": -62, "SNR": 5, "TC": 24.8}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:41:00;{"RSSI": -62, "SNR": 5, "TC": 27.12}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:41:15;{"RSSI": -62, "SNR": 5, "TC": 26.13}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:41:31;{"RSSI": -62, "SNR": 5, "TC": 25.36}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:41:46;{"RSSI": -62, "SNR": 5, "TC": 25.69}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:42:01;{"RSSI": -62, "SNR": 5, "TC": 26.94}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:42:17;{"RSSI": -62, "SNR": 5, "TC": 20.01}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:42:32;{"RSSI": -63, "SNR": 5, "TC": 22.95}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:42:48;{"RSSI": -62, "SNR": 5, "TC": 26.04}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:43:03;{"RSSI": -62, "SNR": 5, "TC": 20.97}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:43:18;{"RSSI": -62, "SNR": 5, "TC": 23.22}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:43:34;{"RSSI": -62, "SNR": 5, "TC": 25.81}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:43:49;{"RSSI": -62, "SNR": 5, "TC": 26.65}
24;0000B827EBDCE0CD;20;6;-62;20;5;SF7BW125;2025-07-07 14:44:04;{"RSSI": -62, "SNR": 6, "TC": 27.37}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:44:20;{"RSSI": -62, "SNR": 5, "TC": 22.44}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:44:35;{"RSSI": -63, "SNR": 5, "TC": 23.96}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:44:50;{"RSSI": -62, "SNR": 5, "TC": 22.28}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:45:06;{"RSSI": -62, "SNR": 5, "TC": 22.57}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:45:21;{"RSSI": -63, "SNR": 5, "TC": 21.96}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:45:36;{"RSSI": -62, "SNR": 5, "TC": 23.04}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:45:52;{"RSSI": -62, "SNR": 5, "TC": 25.3}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:46:07;{"RSSI": -62, "SNR": 5, "TC": 25.75}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:46:23;{"RSSI": -63, "SNR": 5, "TC": 23.97}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:46:38;{"RSSI": -63, "SNR": 5, "TC": 27.98}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:46:53;{"RSSI": -62, "SNR": 5, "TC": 28.12}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:47:09;{"RSSI": -63, "SNR": 5, "TC": 20.56}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:47:24;{"RSSI": -63, "SNR": 5, "TC": 26.07}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:47:39;{"RSSI": -63, "SNR": 5, "TC": 27.68}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:47:55;{"RSSI": -62, "SNR": 5, "TC": 25.29}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:48:10;{"RSSI": -63, "SNR": 5, "TC": 21.62}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:48:25;{"RSSI": -62, "SNR": 5, "TC": 27.64}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:48:41;{"RSSI": -62, "SNR": 5, "TC": 24.52}
24;0000B827EBDCE0CD;20;5;-62;20;5;SF7BW125;2025-07-07 14:48:56;{"RSSI": -62, "SNR": 5, "TC": 21.2}
24;0000B827EBDCE0CD;20;5;-63;20;5;SF7BW125;2025-07-07 14:49:11;{"RSSI": -63, "SNR": 5, "TC": 20.12}
