type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;6;-71;20;5;SF7BW125;2025-07-04 00:31:09;{"RSSI": -71, "SNR": 6, "TC": 26.14}
24;0000B827EB24A52C;20;6;-77;20;5;SF7BW125;2025-07-04 00:31:25;{"RSSI": -77, "SNR": 6, "TC": 27.32}
255;0000B827EB24A52C;0;0;0;23;5;SF12BW125;2025-07-04 00:31:25;{"RSSI": 0, "SNR": 0, "DEF": "MIN-SF7-BW125-T20-START"}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-04 00:31:40;{"RSSI": -73, "SNR": 6, "TC": 25.96}
24;0000B827EB24A52C;20;6;-72;20;5;SF7BW125;2025-07-04 00:31:55;{"RSSI": -72, "SNR": 6, "TC": 23.46}
24;0000B827EB24A52C;20;6;-69;20;5;SF7BW125;2025-07-04 00:32:11;{"RSSI": -69, "SNR": 6, "TC": 28.1}
24;0000B827EB24A52C;20;6;-72;20;5;SF7BW125;2025-07-04 00:32:28;{"RSSI": -72, "SNR": 6, "TC": 28.11}
24;0000B827EB24A52C;20;6;-71;20;5;SF7BW125;2025-07-04 00:32:43;{"RSSI": -71, "SNR": 6, "TC": 20.77}
24;0000B827EB24A52C;20;6;-72;20;5;SF7BW125;2025-07-04 00:32:59;{"RSSI": -72, "SNR": 6, "TC": 27.25}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-04 00:33:16;{"RSSI": -75, "SNR": 6, "TC": 24.68}
24;0000B827EB24A52C;20;7;-74;20;5;SF7BW125;2025-07-04 00:33:33;{"RSSI": -74, "SNR": 7, "TC": 25.76}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-04 00:33:48;{"RSSI": -74, "SNR": 6, "TC": 23.38}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-04 00:34:04;{"RSSI": -75, "SNR": 6, "TC": 24.3}
24;0000B827EB24A52C;20;6;-77;20;5;SF7BW125;2025-07-04 00:34:21;{"RSSI": -77, "SNR": 6, "TC": 23.01}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-04 00:34:36;{"RSSI": -75, "SNR": 6, "TC": 24.6}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-04 00:34:52;{"RSSI": -75, "SNR": 6, "TC": 25.84}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-04 00:35:07;{"RSSI": -74, "SNR": 6, "TC": 28.88}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-04 00:35:22;{"RSSI": -74, "SNR": 6, "TC": 21.14}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-04 00:35:38;{"RSSI": -74, "SNR": 6, "TC": 21.69}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-04 00:35:53;{"RSSI": -74, "SNR": 6, "TC": 25.54}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-04 00:36:08;{"RSSI": -74, "SNR": 6, "TC": 23.05}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-04 00:36:24;{"RSSI": -75, "SNR": 6, "TC": 20.02}
