type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:51:28;{"RSSI": -71, "SNR": 6, "TC": 21.48}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 01:51:47;{"RSSI": -71, "SNR": 8, "TC": 20.18}
24;0000B827EB24A52C;20;7;-72;20;5;SF12BW125;2025-07-07 01:52:05;{"RSSI": -72, "SNR": 7, "TC": 27.18}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:52:23;{"RSSI": -71, "SNR": 7, "TC": 28.68}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:52:41;{"RSSI": -71, "SNR": 7, "TC": 22.46}
24;0000B827EB24A52C;20;7;-72;20;5;SF12BW125;2025-07-07 01:53:00;{"RSSI": -72, "SNR": 7, "TC": 25.81}
24;0000B827EB24A52C;20;6;-72;20;5;SF12BW125;2025-07-07 01:53:18;{"RSSI": -72, "SNR": 6, "TC": 25.0}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:53:36;{"RSSI": -71, "SNR": 6, "TC": 27.46}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 01:53:55;{"RSSI": -71, "SNR": 8, "TC": 28.44}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:54:13;{"RSSI": -71, "SNR": 6, "TC": 24.77}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:54:31;{"RSSI": -71, "SNR": 6, "TC": 20.07}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:54:50;{"RSSI": -71, "SNR": 6, "TC": 25.04}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:55:08;{"RSSI": -71, "SNR": 6, "TC": 21.39}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:55:26;{"RSSI": -71, "SNR": 6, "TC": 28.46}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:55:44;{"RSSI": -71, "SNR": 6, "TC": 23.46}
24;0000B827EB24A52C;20;8;-72;20;5;SF12BW125;2025-07-07 01:56:03;{"RSSI": -72, "SNR": 8, "TC": 23.98}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:56:21;{"RSSI": -71, "SNR": 7, "TC": 22.73}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:56:39;{"RSSI": -71, "SNR": 7, "TC": 20.37}
24;0000B827EB24A52C;20;6;-72;20;5;SF12BW125;2025-07-07 01:56:57;{"RSSI": -72, "SNR": 6, "TC": 26.03}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:57:16;{"RSSI": -71, "SNR": 6, "TC": 22.75}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 01:57:34;{"RSSI": -71, "SNR": 8, "TC": 27.34}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:57:52;{"RSSI": -71, "SNR": 7, "TC": 24.95}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:58:11;{"RSSI": -71, "SNR": 6, "TC": 20.71}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:58:29;{"RSSI": -71, "SNR": 7, "TC": 21.09}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 01:58:47;{"RSSI": -71, "SNR": 8, "TC": 20.07}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:59:05;{"RSSI": -71, "SNR": 6, "TC": 23.87}
